index,text,heart_disease_detected
61,hi there this is dr basu experienced internal medicine specialist am here to address your concerns and provide great service worsening shortness of breath suggests congestive heart failure since you are having trouble with activities copd is another possibility are you on any medication best wishes it was my pleasure to help you today if have answered all your questions please rate my response excellent click on the 5th star please bookmark my profile for fast reliable and authentic answers this is the link to my profile http www justanswer com medical expert mysticdoc ,no
62,kyle norton scholar and master of nutrients all right reserved health article writer and researcher over 10 000 articles and research papers have been written and published on line including world wide health ezine articles article base healthblogs selfgrowth best before it news the karate gb daily etc named top 50 medical essays for artists authors to read by disilgold com named 50 of the best health tweeters canada huffington post nominated for shorty award over last 4 years some articles have been used as references in medical research such as international journal pharma and bio science issn 0975 6299 respiratory disease respiratory disease is defined as medical conditions affecting the breathing organ and tissues including inflammatory lung disease obstructive lung diseases restrictive lung diseases respiratory tract infections trachea bronchi bronchioles alveoli the nerves and muscles breathing etc pleural disease pleural effusion the pleura is thin tissue covered by layer of cells mesothelial cells that surrounds the lungs and lines the inside of the chest wall pleural effusion is condition of collection of fluid within the pleural cavity as result of heart failure bleeding hemothorax infections excessive or decreased fluid volume etc the phytochemicals epigallo catechin galleate egcg according to the study by the harvard medical school boston egcg abundantly in green tea has great potential in ameliorating the development of obliterative airway disease 61 catechin polyphenols gtps other study indicated that oral green tea catechin polyphenols gtps attenuates ih induced spatial learning deficits and mitigates ih induced oxidative stress through multiple beneficial effects on oxidant pathways 62 curcumin diferuloylmethane curcumin diferuloylmethane is an orange yellow component of turmeric curcuma longa spice often found in curry powder according to the study by curcumin has been shown in the last two decades to be potent immunomodulatory agent that can modulate the activation of cells cells macrophages neutrophils natural killer cells and dendritic cells curcumin can also downregulate the expression of various proinflammatory cytokines including tnf il 1 il 2 il 6 il 8 il 12 and chemokines most likely through inactivation of the transcription factor nf kappab interestingly however curcumin at low doses can also enhance antibody responses 63 ursolic acid betulin in the study to investigate whether ursolic acid betulin and 2 kinds of sulfur containing compounds nac and mesna affect mucin release from airway goblet cells and compared the possible activities of these agents with the inhibitory action on mucin release by pll and the stimulatory action by atp showed that ursolic acid and betulin can stimulate mucin release by directly acting on airway mucin secreting cells and suggest that these agents be further investigated for the possible use as mucoregulators in the treatment of chronic airway diseases 64 all forms of arthritis are curable you can eliminate osteoarthritis by addressing the underlying causes through clinical trials and studies ovarian cysts and pcos elimination holistic system in existence that will show you how to permanently eliminate all types of ovarian cysts within 2 months super foods library eat yourself healthy with the best of the best nature has to offer sources 61 http www ncbi nlm nih gov pubmed 21787235 62 http www ncbi nlm nih gov pubmed 18276944 63 http www ncbi nlm nih gov pubmed 17211725 64 http www ncbi nlm nih gov pubmed 15643543,no
63,a little more than year ago my colleagues and started the streetcred police killings in context data project there were already several projects tracking police shootings including fatal encounters and new projects at the washington post and the guardian but we felt that they left out crucial context why did the police become involved in these incidents in the first place was their use of force something that most people would consider reasonable such as the police response after mohammad youssef abdulazeez opened fire on military personnel at chattanooga tenn recruiting station or was it unreasonable as with the shameful killing of walter scott the most common criticism received was that it was an attempt to demonstrate that police aren the problem m white texas cop so that not an unreasonable presumption but hope you ll see that what we found can steer the conversation toward more productive and meaningful reforms we began as others did with the fatal encounters database where the post pulitzer prize winning effort focused on police shootings we focused on all police related deaths and where the guardian included killings by for example prison guards or traffic accidents or personal disputes between officers we focused only on official acts on or off duty by police officers ultimately we gathered more than 70 contextual data points from the mundane middle name to the specific if the person was listed as mentally ill was it previously diagnosed serious mental illness or merely suspected we eventually identified 153 cases in which unarmed civilians had died after an encounter with police in 2015 we now had wealth of contextual data that we believed could add lot to the ongoing dialogue about police shootings we think the context for these shootings transcends both race and politics we have assembled our findings in book in context understanding police killings of unarmed civilians which we believe is instructive for activists police officers and use of force trainers the context behind these shootings can also help readers understand how police and trainers approach these cases and the applicable law they use to determine when different levels of force are justified we tried to be objective but true objectivity is of course impossible everyone has inherent bias instead we ve tried to be as open and transparent as we can we included more than 500 source footnotes in the book as well as an open update system to track when we got something wrong the data methodology and schema on which we based our conclusions are all open and available under the creative commons share alike license so please feel free to check our work from my interpretation of the data there are some relatively easy changes police and policymakers can make that will go long way toward improving policing in the united states here are what you might call the low hanging fruit police must release more data and do it sooner when agencies delay public suspicion and speculation fill the void every time police choose transparency it a deposit in the bank of goodwill it builds community trust las vegas has shown that police department can be transparent and forthcoming after police shooting without disrupting the integrity of the investigation honesty begins with timely release of the earliest available information that might include timeline recordings of 911 calls narrative and any video without video or 911 calls the public has nothing but the word of the police and as we have seen police do sometimes lie not always not even lot according to our research but consider the walter scott shooting and the apparent lies told by officer michael slager high profile case like that can quickly make citizens lose faith in the system sunlight is the best disinfectant while the media and activists groups often focus on race the data show greater disparity in deadly engagements with drug addicts and the mentally ill in 2015 nearly half 46 percent of the deaths of unarmed civilians after police encounter involved someone suffering from serious mental illness overdosing on drugs or both we tend to think of both mental health and drug addiction to be issues at the margins of society these issues need far more social legal and policy attention than they re getting one approach gaining popularity is the memphis model crisis intervention team cit for first responders under the cit model police officers are trained how to recognize the symptoms of mental illness crisis how to communicate with people experiencing mental health crisis and how to intervene without escalating the model has been widely praised and should continue to be adopted around the country but it is clear that the problem is bigger than just crisis management the work needs to start before mentally ill person goes into crisis in the first place we re also seeing new programs to address that problem with promising results program in the mid cities between dallas and fort worth for example has been successful in training cops on new ways to liaise with the mentally ill by focusing on wellness checks in addition to crisis management the area has seen reduction in acute mental health crisis hospitalizations such creative programs stress regular visits and include outreach to friends and family it a really smart way to work it saves lives and money and arguably makes the community more strongly supportive of all its residents many state police academies have also been adding more training in mental health and disability in my opinion we need more of these programs and with an even broader focus but even with new training we must remember that the police should be the last line of defense from mentally ill people who potentially pose threat to the community instead police are too often the first the federal government has long passed the buck on mental health to the states under both democratic and republican administrations state governments have also dropped the ball mental illness is society wide issue it can just be police issue the buck can be passed down but cops can pass the buck back up and if we are going to insist on asking cops to respond to mental health crises the least we can do is give them the proper training and support look at all disability not just mental illness when we add physical disability such as pulmonary emphysema enlarged heart hypertensive or atherosclerotic cardiovascular disease thyroid disorder to that statistic the number of unarmed citizens who died after police encounter suffering from drugs mental illness and or physical disability is 52 percent that of course is more than half we need to consider as society the effects our national health care policies can have on policing we also need to be make sure police are properly trained to interact with people with disabilities such as deafness or autism health care and policing aren unrelated issues cops alone can change this it should be part of the larger conversation among activists health care professionals journalists and law enforcement leaders while it true that fixing the american health care system isn exactly low hanging fruit one fix that would go long way is better coordination among police health care providers and advocacy groups for people with disabilities the americans with disabilities act isn a suggestion it a mandate it time our society faces the fact that when it comes to the cops it cannot be mandate that is unfunded and unsupported we need more police video but it must be used correctly video was available only in 26 percent of the cases in which an unarmed person died after an encounter with police in two 2015 cases eyewitness shot video was crucial in showing that officers had lied to investigators in two other cases video exonerated officers but in all four of these cases the video was taken by bystanders or surveillance cameras not by police operated video here another metric first observed by san jose independent police auditor walter katz last year there were zero indictments of police officers in cases that did not involve video in every case in which an officer was indicted video was available and became an important part of the evidence supporting indictment that an important metric we need more officer video in more places right now believe proliferation of body and dash cam cameras will mostly demonstrate that police usually get it right and perform their jobs with professionalism but it will also show when we are at our worst that too is important am strong proponent of body worn video but it not as easy as merely handing out the cameras as we ve already seen there are significant challenges to developing practical policies and procedures that bring transparency while still protecting citizen privacy and police officers due process rank and file officers union representatives where appropriate and community leaders and activists should be consulted during the policy building process so that there are no surprises sometimes policy can be counterintuitive for truly surprising read have look at the how the los angeles sheriff department handled the thorny issue of whether officers should be permitted to view video before writing their reports there are also logistical technological and financial barriers that need hashing out deaths in police custody aren always from shootings police shootings get most of the media coverage but in nearly half of the 153 cases in which cops killed an unarmed citizen in 2015 no shots were fired at all the decedent was killed in another manner in most of these cases autopsy reports found that the deceased had an abnormal reaction or complication after officers deployed tools or techniques with the intent of using of non deadly force such as stun guns or chemical spray many of these cases include the drug related mental health related deaths described previously as well as other incidents in which decedents with chronic health conditions or physical disability attacked or resisted officers or others in 23 of the 83 cases 27 percent in which there were shootings officers deployed taser prior to shooting to my colleagues and me this is good indication that officers were attempting to subdue suspects who ultimately died by first using non deadly force that would be consistent with current best practices that conclusion has frustrated some observers because activists and reformers have pointed to tasers as weapons that cause too many deaths part of the problem is that there a lot of confusion in the general public about weapon potential to cause death and whether it should be considered deadly force by law practice and training without devolving into festival of scholarly citations the law is quite clear about this deadly force is force that poses significant risk of death or serious bodily injury legal experts have tended to agree that significant risk means more likely than not some people have indeed died proximate to taser exposure but the numbers are very small independent non taser funded research has repeatedly shown that the percentage of people exposed to taser who die soon after that exposure is minuscule and even among those cases it difficult to establish causal link see for example this arizona state university study or this nij study there have been millions of taser exposures and very few deaths in definition and in practice taser is non deadly force our data show that in nearly third of the cases in which officers used deadly force they first attempted non deadly force yes there have been awful examples of taser proximate injuries suffered when an officer used the weapon not because suspect was fighting but to gain control or out of anger that is generally fireable offense and sometimes criminal act but that a separate issue from the cases my team studied in which police officers faced real threat and deployed taser to stop potentially deadly incident by using non deadly force consider if you will the death of omar lopez last year lopez had been fighting passenger on the septa train in philadelphia when police officer intervened lopez bit and violently fought with the officer the officer armed with 40 sig sauer pistol and baton continued to struggle and ultimately used his taser alone lopez died but the autopsy showed his cause of death to be an overdose of pcp that officer like officers in many of the incidents we studied showed tremendous restraint when we credit officers who first opt for non deadly force others are less likely to reach first for their guns think reasonable people would agree each of these reforms is individually actionable none is dependent on the others and few seem all that divisive or controversial with couple of exceptions the solution for each is relatively inexpensive relatively uncomplicated and relatively understandable once we can see beyond the how many of police involved killings and look instead to the why we can start to have meaningful conversations about how to reduce them https www washingtonpost com news the watch wp 2016 06 20 guest post the low hanging fruit of police reform ,no
64,as 3rd year med student my personal record was bmi of 72 she ended up dying of decompensated heart failure during her hospital stay,no
65,i just got report the other day from newer nurse on our unit who had taken report from the recovery room she said to me the pt has hx of es so they didn want to give too much fluid asked what es she looked chagrined and said m not sure just that her heart isn very strong so they didn want to overload her said sounds like chf she said yeah guess so but d swear recovery nurse said es pt arrives and after get her settled m talking to her spouse who says she had an echo recently and her ejection fraction is 30 oh es ef easy to mis hear on the phone now get it ,yes
66,searchers have found one of the six crew members from japanese military jet that disappeared day earlier while flying over southern mountains the associated press published 4 7 16 5 27 am edt updated 4 7 16 5 27 am edt tokyo searchers have found one of the six crew members from japanese military jet that disappeared day earlier while flying over southern mountains the defense ministry said rescue workers are still searching for the jet and the five other crew members thursday only parts of equipment belonging to the jet and the airman who was in state of heart failure were found in the mountains near the air self defense force kanoya base in southern japan the ministry said the 125 search and rescue jet disappeared from radar wednesday while flying 10 kilometers 6 miles north of the base the twin engine jet piloted by major in his 40s was on planned three hour flight inspecting aircraft navigation facilities in the region members of the japan self defense forces resume search operation for disapeared japanese military jet carrying six airmen in kanoya city kagoshima prefecture southern japan thursday april 7 2016 the military jet carrying six airmen disappeared from radar over southern japan on wednesday afternoon and the search has been suspended for the night the plane disappeared about an hour after takeoff from kanoya base for what was supposed to be three hour flight the defense ministry said sadayuki goto kyodo news via ap japan out credit mandatory,no
67,from what have read think it helps determine if you have gene that you may have inherited and that may be what is wrong with your heart but there are so many people on here who have issues not related to genes here is good article from the american heart association regarding the test american heart assoc bob medtronic visis af implanted 7 8 2016 stayed with the with 6947 sprint quattro secure lead original icd implant 2 4 2009 major heart attack carcinogenic shock and quad bypass 10 13 08 post myocardial infarction old inferior mi complicated by shock and chf combined atherosclerosis abdominal aortic aneurysm seroma 7 cm left leg stent in the left main vein 10 7 2014 my wardens are my bride of 52 years and my eldest daughter ,yes
68,preoperative diagnosis posterior mediastinal mass with possible neural foraminal involvement postoperative diagnosis posterior mediastinal mass with possible neural foraminal involvement benign nerve sheath tumor by frozen section operation performed left thoracotomy with resection of posterior mediastinal mass indications for procedure the patient is 23 year old woman who recently presented with posterior mediastinal mass and on ct and mri there were some evidence of potential widening of one of the neural foramina for this reason dr and agreed to operate on this patient together please note that two surgeons were required for this case due to the complexity of it the indications and risks of the procedure were explained and the patient gave her informed consent description of procedure the patient was brought to the operating suite and placed in the supine position general endotracheal anesthesia was given with double lumen tube the patient was positioned for left thoracotomy all pressure points were carefully padded the patient was prepped and draped in usual sterile fashion muscle sparing incision was created several centimeters anterior to the tip of the scapula the serratus and latissimus muscles were retracted the intercostal space was opened we then created thoracoscopy port inferiorly through which we placed camera for lighting and for visualization through our small anterior thoracotomy and with the video assisted scope placed inferiorly we had good visualization of the posterior mediastinum mass this was in the upper portion of the mediastinum just posterior to the subclavian artery and aorta the lung was deflated and allowed to retract anteriorly with combination of blunt and sharp dissection and with attention paid to hemostasis we were able to completely resect the posterior mediastinal mass we began by opening the tumor and taking very wide large biopsy this was sent for frozen section which revealed benign nerve sheath tumor then using the occluder device dr was able to _____ the inferior portions of the mass this left the external surface of the mass much more malleable and easier to retract using bipolar cautery and endoscopic scissors we were then able to completely resect it once the tumor was resected it was then sent for permanent sections the entire hemithorax was copiously irrigated and hemostasis was complete in order to prevent any lymph leak we used 2 cc of evicel and sprayed this directly on to the raw surface of the pleural space single chest tube was inserted through our thoracoscopy port and tunneled up one interspace the wounds were then closed in multiple layers 2 vicryl was used to approximate the ribs the muscles of the chest wall were allowed to return to their normal anatomic position 19 blake was placed in the subcutaneous tissues subcutaneous tissues and skin were closed with running absorbable sutures the patient was then rolled in the supine position where she was awakened from general endotracheal anesthesia and taken to the recovery room in stable condition ,yes
69,clinical history this 78 year old black woman has history of hypertension but no other cardiac problems she noted complaints of fatigue lightheadedness and severe dyspnea on exertion she was evaluated by her pcp on january 31st and her ecg showed sinus bradycardia with rate of 37 beats per minute she has had intermittent severe sinus bradycardia alternating with normal sinus rhythm consistent with sinoatrial exit block and she is on no medications known to cause bradycardia an echocardiogram showed an ejection fraction of 70 without significant valvular heart disease procedure implantation of dual chamber permanent pacemaker approach left cephalic vein leads implanted medtronic model 12345 in the right atrium serial number 12345 medtronic 12345 in the right ventricle serial number 12345 device implanted medtronic enrhythm model 12345 serial number 12345 lead performance atrial threshold less than 1 3 volts at 0 5 milliseconds wave 3 3 millivolts impedance 572 ohms right ventricle threshold 0 9 volts at 0 5 milliseconds wave 10 3 impedance 855 estimated blood loss 20 ml complications none description of procedure the patient was brought to the electrophysiology laboratory in fasting state and intravenous sedation was provided as needed with versed and fentanyl the left neck and chest were prepped and draped in the usual manner and the skin and subcutaneous tissues below the left clavicle were infiltrated with 1 lidocaine for local anesthesia 2 1 2 inch incision was made below the left clavicle and electrocautery was used for hemostasis dissection was carried out to the level of the pectoralis fascia and extended caudally to create pocket for the pulse generator the deltopectoral groove was explored and medium sized cephalic vein was identified the distal end of the vein was ligated and venotomy was performed two guide wires were advanced to the superior vena cava and peel away introducer sheaths were used to insert the two pacing leads the venous pressures were elevated and there was fair amount of back bleeding from the vein so 3 0 monocryl figure of eight stitch was placed around the tissue surrounding the vein for hemostasis the right ventricular lead was placed in the high rv septum and the right atrial lead was placed in the right atrial appendage the leads were tested with pacing systems analyzer and the results are noted above the leads were then anchored in place with 0 silk around their suture sleeve and connected to the pulse generator the pacemaker was noted to function appropriately the pocket was then irrigated with antibiotic solution and the pacemaker system was placed in the pocket the incision was closed with two layers of 3 0 monocryl and subcuticular closure of 4 0 monocryl the incision was dressed with steri strips and sterile bandage and the patient was returned to her room in good condition impression successful implantation of dual chamber permanent pacemaker via the left cephalic vein the patient will be observed overnight and will go home in the morning ,yes
70,i went to pick up chinese food and when got back there was middle aged woman standing in front of my house ranting about the truck cab parked next to my house agree that don like it being there but m not going to stand there on the sidewalk with cooling chinese food in my hand listening to you rant can barely stand for my heart failure for god sake why can people leave me alone don look friendly ,yes
71,description but in spite of its prevalence fewer than 1 in 10 people can identify 3 common symptoms of heart failure it time to change that what is heart failure when you have heart failure your heart has weakened it is not pumping blood around your body as efficiently as it should weakened heart has to pump extra hard to supply your body with the oxygen and nutrients it needs this extra work can enlarge and damage it even further the most common symptoms of heart failure are shortness of breath or trouble breathing weakness fatigue swollen feet ankles abdomen or veins in the neck other symptoms may include rapid weight gain difficulty moving heart palpitations nausea vomiting coughing tags published sat apr 30 08 09 38 edt 2016,no
72,in patients with heart failure use of an investigational device that monitors the accumulation of fluid in the lungs appeared to cut heart failure related hospitalizations by more than half meeting the study primary endpoint and reduced deaths from any cause by 39 percent per year compared with standard assessment and treatment researchers reported at the american college of cardiology 65th annual scientific session ,no
73,hi guys so basically about year ago was in the hospital for week for an endoscopic surgery and when got back from the hospital had no responsibilities for about 5 months and just stayed in my room on my computer for mostly all day and stayed up late doing this had little human interaction during that time because wanted to be alone and also for the past few 2 years leading up to the surgery my interaction with people was reduced significantly due to my eating disorder which made me isolate myself from people now when am around people and even when am alone in my room feel like am not real and that nothing around me is real and am always afraid that am dying or going to die soon from heart failure or forgetting how to breathe also cant focus in on anything and feel like life is just passing me by so fast and am not actually in my body because have derealization symptoms was wondering is this because have been separated from people for so long also can this feeling go away ,yes
74,new york ny dr trump makes his rounds through the halls of nyu hospital and you can overhear his barking cisplatin you re fired it a non hodgkin lymphoma start chop gomerblog was lucky enough to follow along with this diagnosing icon he latest patient jennifer cappo allowed us to listen in jennifer m going to tell it to you straight it a tumor in fact it the biggest ve ever seen it yuuge dr trump told his new patient he continued make many hand gestures with is unusually small hands while describing his medical plan m going to get the best chemo therapy agents that you ve ever seen it going to be fantastic believe me m going to make your body great again he continued the medicine will make wall around the tumor and then it will make the tumor pay for it oh it will pay for it trust me it will be tremendous you ve never seen anything like it dr trump started to deviate little went he ranted about his degrees went to the best medical school trained my teachers it was so good they never saw anyone like me then residency was just incredible only the best he then continued telling jennifer about her treatment ll get all the best doctors some really good friends of mine they really like me mean they think m great to help you out we are going to be winning against xancer before you know it jennifer interrupted briefly what drugs will be on first paclitaxel just love paclitaxel love it then doxorubicin do love doxorubicin not so much it might cause heart failure but then we ll give you coreg and will get it the heart pumping right again will be winning winning winning the post oncologist dr trump making your body great again appeared first on gomerblog ,no
75,the fixed dose combination of sacubitril and valsartan trade name entresto has been approved since november 2015 for adults with symptomatic chronic heart failure with reduced pump function in its early benefit assessment the german institute for quality and efficiency in health care iqwig derived an indication of considerable added benefit versus the appropriate comparator therapy enalapril from the data the positive effects regarding mortality hospitalizations and quality of life largely outweighed the negative effect in non severe side effects read more,no
76,march 21 2016 2 08am edt current clinical trials are evaluating stem cell therapies for conditions ranging from eye disease to aids discoveries in stem cell science over the past decade are finally starting to reach the clinic current clinical trials are evaluating stem cell therapies for conditions ranging from eye disease to aids these trials are going on in the united states europe canada japan and elsewhere but australia is lagging behind while we remain fairly competitive in fundamental research we are slow to translate our discoveries into new therapies this concern was expressed in the australian academy of science report released today called the stem cell revolution lessons and imperatives for australia it contains series of recommendations from young research leaders in the field on how australian science policy can help fast track stem cell research here researchers are often asked by patients or their relatives when stem cell treatments will be available for certain medical conditions ten years ago the answer would have been that there are no new treatments yet but we are working to develop them today we are forced to answer that clinical trials of cell therapies for particular conditions are going on but not in australia we have an obligation to ensure that australian patients their families carers and physicians are not left behind in the stem cell revolution stem cell therapy human embryonic stem cells which can become cells in any tissue of the body were first discovered in 1998 today embryonic stem cell treatment trials are underway for macular degeneration common form of blindness spinal cord injury juvenile diabetes and heart failure embryonic stem cell therapies are being trialled for macular degeneration common form of blindness embryonic stem cell therapies are being trialled for macular degeneration common form of blindness then there are the induced pluripotent stem ips cells that japanese scientist shinya yamanaka discovered which won him the nobel prize in 2012 ips cells are made from adult tissues and have many of the defining properties of embryonic stem cells they can be made from skin or blood cells of any person after yamanaka discovery japan cell therapy regulatory framework was modified to fast track products from these new stem cells into the clinic as consequence therapies using induced ips cells which enable close tissue matching of stem cell transplants to patients to prevent graft rejection are now in clinical trials there only ten years after their discovery more trials will begin very soon for instance years of research on midbrain dopaminergic neurons the cells lost in parkinson disease has paved the way for upcoming trials of stem cells replacing these lost neurons there are also large number of human trials in progress using mesenchymal stem cells which are extracted from bone marrow fat or other tissues capable of modulating the immune system and inflammatory response these stem cells have the potential ability to treat arthritis autoimmune disorders graft versus host disease in bone marrow transplant patients and number of other conditions neural stem cells derived from either foetal or adult brain tissue are also undergoing testing in humans for rare inherited disorders of the brain or more common conditions including spinal cord injury it unlikely these early stage trials will produce cures for any of these conditions indeed they might pose as many questions as they answer but it is essential and significant that these trials are moving forward because the lessons we learn from them will guide us towards the design of the next generation of cellular therapeutics gene therapy and drug discovery today genetic modification of stem cells with precision can provide cell therapies that can permanently correct serious genetic disorders human embryonic stem cells can become cells in tissue in any part of the body for years progress in gene therapy was almost totally blocked by safety concerns around the relatively crude technologies for introducing genetic alterations into patient cells but technological advances have enabled precise correction of genetic defects within cell this avoids off target modifications that can cause cancers and other serious toxicities new treatments using combined gene and cell therapy are undergoing trials now the california institute of regenerative medicinelists about ten new human studies including in aids blood diseases and cancer then there is third stream of stem cell research that although perhaps less visible to the general public has implications well beyond cell therapy this is the ability to derive pluripotent stem cells from patients with genetic predisposition to disease or to introduce disease mutations into stem cells via gene editing we can then use these disease specific stem cell lines to generate the cell types affected in particular disorder to study what goes wrong with them in the lab for instance we can study how gene that causes epilepsy affects the electrical properties of human nerve cells once we develop these cell culture models we can use them to screen candidate drugs to correct the deficits in the affected cells this technology will enable us to reduce dependence on animal models which don always replicate human diseases and will reduce the risk of testing drugs on living human subjects these advances have the potential to speed the discovery of new medicines to rapidly eliminate candidate drugs that might cause toxicity in the clinic and to save millions from the costs of drug development to ensure australian patients have timely access to new stem cell therapies for intractable diseases we must maintain our excellence in fundamental stem cell research but we also need to develop new and better mechanisms to support collaboration between academia the private sector and philanthropists with the aim of translating discoveries into cures https theconversation com stem cell therapies are advancing but will australian patients be left behind 56504,no
77,procedure performed right heart catheterization indication refractory chf to maximum medical therapy procedure after risks benefits and alternatives of the above mentioned procedure were explained to the patient and the patient family in detail informed consent was obtained both verbally and in writing the patient was taken to cardiac catheterization suite where the right internal jugular region was prepped and draped in the usual sterile fashion 1 lidocaine solution was used to infiltrate the skin overlying the right internal jugular vein once adequate anesthesia has been obtained thin walled 18 gauge argon needle was used to cannulate the right internal jugular vein steel guidewire was then inserted through the needle into the vessel without resistance small nick was then made in the skin and the needle was removed an 8 5 french venous sheath was then advanced over the guidewire into the vascular lumen without resistance the guidewire and dilator were then removed the sheath was then flushed swan ganz catheter was inserted to 20 cm and the balloon was inflated under fluoroscopic guidance the catheter was advanced into the right atrium through the right ventricle and into the pulmonary artery wedge position hemodynamics were measured along the way pulmonary artery saturation was obtained the swan was then kept in place for the patient to be transferred to the icu for further medical titration the patient tolerated the procedure well the patient returned to the cardiac catheterization holding area in stable and satisfactory condition findings body surface area equals 2 04 hemoglobin equals 9 3 o2 is at 2 liters nasal cannula pulmonary artery saturation equals 37 8 pulse oximetry on 2 liters nasal cannula equals 93 right atrial pressure is 8 right ventricular pressure equals 59 9 pulmonary artery pressure equals 61 31 with mean of 43 pulmonary artery wedge pressure equals 21 cardiac output equals 3 3 by the fick method cardiac index is 1 6 by the fick method systemic vascular resistance equals 1821 and transpulmonic gradient equals 22 impression exam and swan findings consistent with low perfusion given that the mixed venous o2 is only 38 on current medical therapy as well as elevated right sided filling pressures and high systemic vascular resistance plan given that the patient is unable to tolerate vasodilator therapy secondary to significant orthostasis and the fact that the patient will not respond to oral titration at this point due to lack of cardiac reserve the patient will need to be discharged home on primacor the patient is unable to continue with his dobutamine therapy secondary to nonsustained ventricular tachycardia at this time we will transfer the patient to the intensive care unit for titration of the primacor therapy we will also increase his lasix to 80 mg iv d we will increase his amiodarone to 400 mg daily we will also continue with his coumadin therapy as stated previously we will discontinue vasodilator therapy starting with the isordil ,yes
78,william may photo shared on ancestry com by lynn reed 9 24 2009 william may was born in ontario on april 5 1808 to john may and dorothy hainer even though the photo says 1803 all other documents say 1808 john and dorothy had seven children george 1802 hannah 1804 magdelan 1805 william 1808 sarah 1810 elizabeth 1812 william may married anna schram on february 15 1827 in lincoln ontario william and anna had five children john 1828 andrew 1829 george 1831 charles 1833 elizabeth 1836 in the 1871 census william anna and john are living in the st catharines lincoln ontario william occupations is as hotel keeper in the census and on his death certificate in the census record they have three people living with them fredrick smith age 28 servant from england joseph linda age 18 who declares that he is from the us machinist of irish descent conrad linda age 16 also from us machinist of irish descent wm may is the center column on the upper left page william died on april 26 1875 according to his death record he died of dropsy which today would be congestive heart failure but back in this time frame it was often used as common explanation for death of unknown cause have not been able to identify where he is buried ill keep looking and post if find it rest in peace jan,no
79,aloha all don have much to contribute to this conversation as was not prescribed any of these meds got morphine in the hospital when asked for more pain relief and then they made me wait for it then send home with celebrex which remembered as med taken off the market when lived in los angeles risks of fatal heart failure or something was told it was back on the market don know why was so complacent and just took it don remember being pain free at any time just the edge was taken off it is big problem good for the people here who can just taper down and are done taking pain meds in such short time couldn with these meds had to take stomach protector omazeprol took it for 14 months never realized how addictive that was and the extend of side effects and stopped cold turkey still going through withdrawal but getting better these are good topics though it will make us more aware and hopefully our md will listen to us mine did not denying that my symptoms were unrelated to the medication have to be careful here not to become bitter person big warm hug renee,yes
80,segui cimuncol the fda food and drug administration issued an alert last april 5 2016 in which he reported on the risk of heart failure associated with the use of drugs used for treating diabetes containing saxagliptin and alogliptin this was determined based on two studies in patients with heart disease clinical trials the result showed higher number of hospitalizations in patients receiving these drugs versus placebo patients 1 saxagliptin and alogliptin are indicated in the treatment of type 2 diabetes mellitus since both are inhibitors of dipeptidyl peptidase 4 dpp4 thus slowing the inactivation of incretin hormones glp 1 and gip glucagon like peptide and gastric inhibitory peptide respectively which stimulate insulin release from pancreatic cells which regulates glucose homeostasis blood level 2 3 importantly in patients with type 2 diabetes heart failure is common complication why it was vital to establish whether the use of therapeutic agents employed for this pathology reduced or increased adverse effects risk of developing heart failure 4 currently saxagliptin it has 5 existing health records in colombia while alogliptin 9 both features are indicated to improve glycemic control in adults with type 2 diabetes mellitus in complement with diet and exercise heart failure is possible adverse effect reported for saxagliptin while speaking of fulminant hepatic failure to alogliptin 5 based on the above it is recommended that patients taking these drugs and heart failure also present see doctor to assess the possible suspension of such drugs patients who for any reason must leave the medication without consulting the doctor is highlighted additionally if you have fatigue weakness fatigue shortness of breath unusual shortness of breath or weight gain swollen ankles feet legs or stomach you should immediately see doctor and are encouraged to report such cases to national pharmacovigilance program of the national institute of food and drug administration invima line 2948700 ext 3916 3921 or 3847 or email invimafv invima gov using the format foream report for more information on this alert follow this link references 1 fda safety alerts for human medical products diabetes medications containing saxagliptin and alogliptin drug safety communication risk of heart failure consulted april 6 2016 available in http www fda gov safety medwatch safetyinformation safetyalertsforhumanmedicalproducts ucm494252 htm 2 micromedex healthcare database internet saxagliptin consulted april 8 2016 3 micromedex healthcare database internet alogliptin consulted april 8 2016 4 kundu sardar ghosh risk of heart failure with dipeptidyl peptidase 4 inhibitors in patients with type 2 diabetes mellitus meta analysis of randomized controlled trials abstract int cardiol 2016 mar 19 212 203 205 5 invima sanitary control registry consulted april 6 2016 available in http farmacovigilancia invima gov co 8082 consultas consultas consreg_encabcum jsp,no
